age,annual_income,employment_length,employment_type,home_ownership,credit_score,loan_amount,loan_purpose,interest_rate,loan_term,debt_to_income_ratio,loan_to_income_ratio,monthly_payment,payment_to_income_ratio,credit_score_tier,income_category,default
43,60136.66892279951,10.5,Self-employed,Own,529,70139.5,debt_consolidation,11.54,60,1.1663349709316562,1.1663349709316562,1543.9593321560478,0.308090094076499,Poor,High,1
51,41541.47125835657,13.3,Full-time,Rent,540,60650.29,debt_consolidation,13.23,60,1.459993788443385,1.459993788443385,1387.1319049475794,0.40069796170308947,Poor,Medium,1
34,43622.744106586724,9.8,Full-time,Rent,616,27012.52,home_improvement,8.6,36,0.6192301872160606,0.6192301872160606,853.9709616199702,0.23491533486295102,Fair,Medium,1
37,48916.46693594327,4.5,Self-employed,Own,602,31949.05,debt_consolidation,12.35,60,0.6531348644176956,0.6531348644176956,716.3525939363543,0.17573287004748575,Fair,Medium,1
26,44639.58842881551,1.1,Full-time,Own,575,44172.48,major_purchase,13.66,36,0.9895360050292493,0.9895360050292493,1502.4265218197522,0.40388182096676695,Poor,Medium,1
25,56810.01755971464,1.0,Full-time,Mortgage,671,77992.68,debt_consolidation,9.99,60,1.372868436768562,1.372868436768562,1656.7302294034607,0.34995170934323844,Good,Medium,1
49,40123.07545047493,8.5,Self-employed,Rent,579,57861.63,business,10.58,60,1.442103561363841,1.442103561363841,1245.9664255641824,0.3726433464759045,Poor,Medium,1
56,68704.41758278306,21.0,Self-employed,Own,640,49172.27,debt_consolidation,7.48,60,0.7157075444348471,0.7157075444348471,984.8441548481642,0.1720141189456721,Fair,High,0
39,43736.32650654013,8.5,Part-time,Mortgage,628,31172.37,car,11.64,36,0.7127340700490387,0.7127340700490387,1030.0170642261623,0.28260729142091207,Fair,Medium,0
52,70913.02495043138,10.4,Self-employed,Rent,677,72721.78,other,5.86,60,1.025506668920596,1.025506668920596,1401.1865496525288,0.2371107227139668,Good,High,0
44,57472.319699597494,8.6,Full-time,Own,676,64923.68,debt_consolidation,9.38,60,1.1296512884698247,1.1296512884698247,1359.713944849656,0.2839030584371931,Good,Medium,0
32,33694.85720640833,4.1,Full-time,Mortgage,605,44945.13,home_improvement,6.88,36,1.3338869408074538,1.3338869408074538,1385.3105081934038,0.49336093031904077,Fair,Medium,1
44,47623.75530643039,22.4,Part-time,Own,594,60655.92,car,7.54,36,1.273648405290919,1.273648405290919,1887.890774834208,0.47570144673054693,Fair,Medium,1
58,55287.13547732403,8.6,Unemployed,Mortgage,610,44660.06,car,9.24,36,0.8077839376995265,0.8077839376995265,1425.1717118888193,0.3093316446043805,Fair,Medium,1
39,62699.27966830103,14.7,Full-time,Own,700,41637.64,debt_consolidation,9.14,36,0.6640848223500533,0.6640848223500533,1326.7805049168674,0.25393220054889715,Good,High,0
58,78921.96102907769,26.2,Full-time,Own,672,54065.51,debt_consolidation,10.25,60,0.6850502609797078,0.6850502609797078,1155.3942130511232,0.17567645780501084,Good,High,0
21,38766.52296692706,0.0,Full-time,Rent,618,51414.57,debt_consolidation,9.23,60,1.326262095877502,1.326262095877502,1073.0302707229982,0.3321516159615658,Fair,Medium,1
49,55937.27829185035,27.8,Full-time,Own,614,51629.01,medical,8.46,60,0.9229803733143371,0.9229803733143371,1058.2531499663717,0.22702280460160706,Fair,Medium,0
41,40571.19678314287,15.1,Full-time,Own,568,14413.48,debt_consolidation,8.55,36,0.35526386064087534,0.35526386064087534,455.3320800760537,0.13467645507521492,Poor,Medium,1
36,27893.070610731076,10.2,Part-time,Rent,649,3103.21,medical,10.05,36,0.11125379644671057,0.11125379644671057,100.20472074626329,0.04310951152479239,Fair,Low,1
41,55807.49256966922,8.1,Full-time,Own,668,8727.57,home_improvement,9.63,60,0.15638706557376028,0.15638706557376028,183.85017057874342,0.03953236286670167,Fair,Medium,0
21,15000.0,0.0,Full-time,Mortgage,536,26224.22,vacation,11.06,60,1.7482813333333334,1.7482813333333334,570.9630946967185,0.4567704757573748,Poor,Low,1
37,73068.9290853457,4.1,Full-time,Own,656,70867.49,car,9.13,36,0.9698717483217199,0.9698717483217199,2257.857426445226,0.37080451919168184,Fair,High,0
44,34622.64941919161,0.8,Full-time,Rent,684,46709.82,car,11.22,60,1.3491116590895083,1.3491116590895083,1020.716989430737,0.3537743089753075,Good,Medium,1
57,74867.61365259431,30.1,Full-time,Own,642,139640.92,debt_consolidation,10.82,60,1.8651712427748948,1.8651712427748948,3023.6117735774264,0.48463333493295907,Fair,High,1
33,63757.05789634239,10.8,Full-time,Own,611,21673.05,other,6.51,60,0.3399317772039688,0.3399317772039688,424.1596322293126,0.07983297464928583,Fair,High,0
30,45427.02435505883,1.5,Full-time,Own,650,43177.03,medical,10.41,60,0.9504701356295581,0.9504701356295581,926.1189338328531,0.24464352142309378,Fair,Medium,0
33,42889.342975512285,9.4,Full-time,Rent,663,48217.4,business,11.16,60,1.1242279935957464,1.1242279935957464,1052.2146418370637,0.2943989071889938,Fair,Medium,1
50,47337.15207523258,21.5,Full-time,Own,612,80421.86,medical,7.69,60,1.6989163157129972,1.6989163157129972,1618.7600245776332,0.41035675876866023,Fair,Medium,0
43,32239.563866399694,3.9,Full-time,Rent,588,64094.35,major_purchase,11.66,60,1.9880650453463358,1.9880650453463358,1414.7556369962542,0.5265911075691899,Fair,Medium,1
33,51804.988921899385,5.1,Unemployed,Own,512,75230.64,car,17.16,60,1.4521890954057892,1.4521890954057892,1876.153459816318,0.4345882893969426,Poor,Medium,1
46,79371.86962857335,10.6,Part-time,Own,563,104729.98,debt_consolidation,11.18,36,1.3194848564118729,1.3194848564118729,3437.6594133161966,0.5197296366185628,Poor,High,1
41,43840.97895638675,15.2,Self-employed,Own,554,81044.16,debt_consolidation,9.91,60,1.84859375701038,1.84859375701038,1718.3621541953082,0.47034410136819554,Poor,Medium,1
51,46049.670606093714,25.1,Full-time,Rent,627,77871.09,debt_consolidation,8.85,60,1.6910238222137333,1.6910238222137333,1610.8126497208557,0.41975874185932566,Fair,Medium,1
31,15000.0,0.9,Full-time,Rent,636,26153.76,business,9.15,36,1.7435839999999998,1.7435839999999998,833.5096227180305,0.6668076981744244,Fair,Low,1
36,29356.323955231426,8.4,Full-time,Rent,594,3086.55,other,6.5,60,0.10514088905365017,0.10514088905365017,60.39189478451698,0.02468642662887151,Fair,Low,0
35,41091.757532005926,10.7,Part-time,Mortgage,606,44273.12,business,6.19,36,1.0774209393578784,1.0774209393578784,1350.6888196458158,0.3944408029548346,Fair,Medium,0
22,50258.03505322898,0.8,Full-time,Rent,696,79768.76,other,8.34,36,1.5871842167230732,1.5871842167230732,2512.1935340855403,0.5998309002152212,Good,Medium,0
43,63063.10707840978,3.3,Part-time,Mortgage,576,28048.49,other,9.88,36,0.44476860242749844,0.44476860242749844,903.4664678064431,0.17191664216920632,Poor,High,0
43,57542.38276551655,11.6,Full-time,Mortgage,807,87910.91,medical,7.11,60,1.5277592928022163,1.5277592928022163,1745.307415208892,0.3639697901953695,Excellent,Medium,0
40,43150.74745336439,16.3,Full-time,Own,701,5066.08,debt_consolidation,7.14,36,0.11740422354155551,0.11740422354155551,156.75032766918218,0.04359145653416781,Good,Medium,0
37,36591.49729200811,5.1,Full-time,Mortgage,636,43646.95,medical,9.06,60,1.1928167260193765,1.1928167260193765,907.3104158062783,0.2975479495356237,Fair,Medium,1
23,48627.08684397538,0.9,Part-time,Own,577,83518.16,home_improvement,11.86,36,1.7175234096991239,1.7175234096991239,2768.4167675048107,0.6831789310482542,Poor,Medium,1
34,44536.501840189405,10.5,Full-time,Mortgage,604,40954.07,home_improvement,4.92,60,0.9195618943525411,0.9195618943525411,771.3536934078359,0.2078350103496738,Fair,Medium,0
35,15000.0,1.3,Full-time,Rent,683,22574.4,car,6.2,60,1.50496,1.50496,438.5288389838661,0.3508230711870929,Good,Low,1
30,26337.58324764305,7.7,Self-employed,Rent,572,29175.65,debt_consolidation,9.01,60,1.1077572959398592,1.1077572959398592,605.7801151165943,0.2760071534676465,Poor,Low,0
38,33736.92901495102,5.3,Full-time,Rent,548,44865.15,debt_consolidation,10.17,36,1.3298528144075397,1.3298528144075397,1451.2557034818487,0.5162019469544616,Poor,Medium,1
44,46043.32799793124,0.0,Full-time,Mortgage,547,49803.64,vacation,7.67,36,1.0816689880070727,1.0816689880070727,1553.0942999858416,0.40477377310057777,Poor,Medium,1
62,85562.3039720729,9.6,Full-time,Rent,681,85912.24,home_improvement,6.26,60,1.0040898387687331,1.0040898387687331,1671.3306139353558,0.2344019087397464,Good,High,0
42,50083.24202732355,1.9,Full-time,Rent,644,85095.96,home_improvement,10.14,60,1.6990904852680029,1.6990904852680029,1813.9051391899955,0.4346136709441605,Fair,Medium,1
43,51813.12058986032,2.0,Full-time,Own,593,14311.41,home_improvement,10.6,36,0.2762120836782933,0.2762120836782933,465.8309127068053,0.10788717006123744,Fair,Medium,0
39,67583.45335208194,12.5,Part-time,Rent,531,81832.58,medical,5.21,36,1.2108375044655677,1.2108375044655677,2460.31889366319,0.4368499278980509,Poor,High,1
21,15000.0,0.0,Full-time,Own,501,4772.1,debt_consolidation,10.9,36,0.31814000000000003,0.31814000000000003,156.0065396830133,0.12480523174641063,Poor,Low,1
39,75844.34882051364,16.8,Self-employed,Rent,577,88687.45,car,9.68,60,1.1693349785345204,1.1693349785345204,1870.4124996872026,0.29593437540564316,Poor,High,0
40,39082.928502315066,9.8,Full-time,Rent,607,75462.59,other,7.59,60,1.9308325371659392,1.9308325371659392,1515.3449365977951,0.46527064209368063,Fair,Medium,0
69,87354.92210173095,22.1,Full-time,Own,712,18212.28,business,7.23,60,0.20848601958331,0.20848601958331,362.6045406564047,0.04981121135692291,Good,High,0
37,41120.92911980595,6.9,Unemployed,Rent,471,37083.39,other,12.68,60,0.9018130376372925,0.9018130376372925,837.6988598023136,0.2444591241686224,Poor,Medium,1
43,54817.38869742967,15.2,Full-time,Rent,696,89009.48,other,9.23,60,1.6237453500621337,1.6237453500621337,1857.6420345694482,0.40665389111974637,Good,Medium,0
39,54550.23585830032,8.1,Self-employed,Mortgage,623,43771.87,home_improvement,9.33,60,0.8024139458113765,0.8024139458113765,915.6585308575118,0.20142722020180287,Fair,Medium,0
25,36592.27436404501,0.5,Part-time,Rent,599,39834.28,car,10.86,36,1.088598090506791,1.088598090506791,1301.4838423773595,0.426806105385844,Fair,Medium,1
53,54381.20614238621,28.2,Full-time,Mortgage,691,17290.22,major_purchase,7.91,36,0.3179447685424455,0.3179447685424455,541.0950711142006,0.11940045677489074,Good,Medium,0
49,43749.500177269496,12.0,Full-time,Mortgage,561,22917.7,home_improvement,5.69,60,0.523839127467498,0.523839127467498,439.76737350744435,0.12062328622513407,Poor,Medium,1
49,98140.7972025687,2.1,Full-time,Mortgage,663,137810.08,car,8.13,60,1.4042078720386937,1.4042078720386937,2802.8733799471515,0.3427166022499507,Fair,High,0
29,27909.72643141543,4.2,Self-employed,Rent,684,46729.71,debt_consolidation,5.56,36,1.6743163038459823,1.6743163038459823,1412.3107015053363,0.6072337706251224,Good,Low,1
56,79979.7120038086,22.7,Full-time,Rent,574,106234.42,debt_consolidation,10.25,60,1.3282670984729372,1.3282670984729372,2270.257583713582,0.3406250200459046,Poor,High,1
23,15000.0,0.6,Full-time,Own,585,25352.25,car,9.38,60,1.69015,1.69015,530.9589329858487,0.424767146388679,Fair,Low,1
47,53856.656659056964,20.8,Full-time,Rent,665,67361.17,home_improvement,7.9,36,1.250749195711019,1.250749195711019,2107.7481180089117,0.46963512006000974,Fair,Medium,1
66,80295.39907077183,30.1,Full-time,Rent,576,131635.92,home_improvement,8.31,60,1.6393955509701992,1.6393955509701992,2688.674235431892,0.4018174291249907,Poor,High,1
28,40990.53113366325,4.6,Full-time,Mortgage,590,80648.25,business,8.93,36,1.967484874421841,1.967484874421841,2561.9661662115313,0.7500169708533092,Fair,Medium,1
33,15000.0,5.0,Full-time,Rent,699,3860.5,debt_consolidation,8.36,36,0.2573666666666667,0.2573666666666667,121.6161967742369,0.09729295741938952,Good,Low,0
41,52915.83800973429,19.2,Unemployed,Rent,499,53515.6,car,9.55,60,1.0113342623460935,1.0113342623460935,1125.2352878533054,0.2551754628123949,Poor,Medium,1
33,23008.115457617205,3.3,Full-time,Rent,579,10602.05,home_improvement,8.68,36,0.4607961055971675,0.4607961055971675,335.56558952321586,0.17501594520838767,Poor,Low,1
21,29865.185667923855,0.0,Full-time,Rent,626,29385.38,business,5.57,60,0.9839342814319356,0.9839342814319356,562.2448381666428,0.22591314626401726,Fair,Low,0
40,33607.60442030891,5.9,Full-time,Own,591,35261.6,major_purchase,10.27,60,1.0492149204985162,1.0492149204985162,753.8979236671806,0.269188335201281,Fair,Medium,1
27,19794.87820518408,4.5,Part-time,Rent,640,25370.11,major_purchase,6.27,60,1.2816502196692388,1.2816502196692388,493.6667443632435,0.299269380238343,Fair,Low,1
45,51404.06042037217,1.1,Full-time,Own,589,48045.64,major_purchase,9.8,60,0.9346662424542405,0.9346662424542405,1016.1062086816335,0.23720450105430252,Fair,Medium,1
28,18113.363040697834,0.3,Full-time,Rent,577,12986.44,business,11.38,36,0.7169535536179308,0.7169535536179308,427.50015671665375,0.2832164225424925,Poor,Low,1
58,64900.881604054426,30.0,Full-time,Rent,579,11813.24,debt_consolidation,12.47,36,0.18201971541881204,0.18201971541881204,395.02574524425523,0.07303920726147627,Poor,High,0
30,18540.04143795196,3.9,Full-time,Rent,589,3079.64,car,9.1,36,0.1661075036054609,0.1661075036054609,98.07512200919354,0.06347890149269966,Fair,Low,0
36,16570.23983468858,5.1,Full-time,Rent,592,7166.89,debt_consolidation,10.94,60,0.4325157675145198,0.4325157675145198,155.61118876773227,0.11269204814426767,Fair,Low,1
49,75862.57612542345,17.0,Full-time,Mortgage,725,72302.66,business,7.26,36,0.9530741466050685,0.9530741466050685,2241.1013336885003,0.3544991137632803,Good,High,0
25,15000.0,2.8,Full-time,Rent,549,13399.21,home_improvement,6.73,60,0.8932806666666666,0.8932806666666666,263.61686158067334,0.21089348926453869,Poor,Low,1
42,49014.701940117535,4.2,Full-time,Own,660,22660.55,home_improvement,5.48,60,0.4623214893295679,0.4623214893295679,432.63368331146347,0.10591932612546072,Fair,Medium,0
55,79513.7052054576,6.3,Part-time,Rent,624,132187.18,car,10.8,36,1.6624452307742166,1.6624452307742166,4315.129631996553,0.6512280549643471,Fair,High,1
21,15775.838462259353,0.0,Full-time,Rent,506,22064.67,car,13.57,60,1.3986369125663565,1.3986369125663565,508.50072117723323,0.3867945699827414,Poor,Low,1
42,39317.42675805422,12.4,Self-employed,Rent,540,29567.23,vacation,6.4,36,0.7520133548399913,0.7520133548399913,904.8609440815446,0.276170955840954,Poor,Medium,1
43,56359.673024926575,8.6,Full-time,Own,606,90977.95,home_improvement,10.1,60,1.6142384282421682,1.6142384282421682,1937.4920997587953,0.41252732582076285,Fair,Medium,0
49,77362.22767989033,22.4,Part-time,Rent,701,153143.73,medical,8.25,60,1.979567220241881,1.979567220241881,3123.5580580449196,0.484509014549517,Good,High,1
25,15000.0,2.1,Full-time,Rent,627,8483.71,debt_consolidation,7.45,60,0.5655806666666666,0.5655806666666666,169.79464507423415,0.13583571605938732,Fair,Low,1
24,26561.341841772315,0.7,Full-time,Rent,619,20954.8,other,7.62,60,0.7889209861771721,0.7889209861771721,421.08714769160366,0.1902406061561413,Fair,Low,1
46,30792.242092439235,5.2,Part-time,Own,352,61168.99,major_purchase,11.94,60,1.9865065303256857,1.9865065303256857,1358.8164830519754,0.5295424005719755,Poor,Medium,1
43,47068.086639682406,8.7,Full-time,Rent,539,17037.56,home_improvement,6.81,60,0.36197689807165195,0.36197689807165195,335.8389132184647,0.08562206892905408,Poor,Medium,0
43,53479.17196298639,18.9,Full-time,Own,677,13191.0,business,6.04,36,0.2466567733907634,0.2466567733907634,401.5348948498016,0.0900989780008656,Good,Medium,0
44,41417.918509267234,1.4,Part-time,Rent,617,45140.69,home_improvement,10.63,60,1.089883113993278,1.089883113993278,973.1590708129717,0.28195305969185136,Fair,Medium,1
31,30856.986899401192,2.2,Part-time,Own,530,30548.89,other,10.12,60,0.9900153277957553,0.9900153277957553,650.8788586056389,0.2531208354442163,Poor,Medium,1
42,30571.513729625538,18.8,Full-time,Rent,618,7604.62,vacation,10.69,36,0.24874855943527224,0.24874855943527224,247.85059424718426,0.09728687814643719,Fair,Medium,0
43,54122.28086563766,2.7,Full-time,Own,640,35237.31,vacation,4.82,60,0.6510684589860335,0.6510684589860335,662.0695477465107,0.1467941566003424,Fair,Medium,0
31,53547.27814002691,6.3,Full-time,Own,650,47977.27,debt_consolidation,9.52,60,0.8959796214952092,0.8959796214952092,1008.0809562690238,0.22591197714278827,Fair,Medium,0
62,60661.48602123966,8.8,Self-employed,Own,580,100831.42,medical,11.46,60,1.6621983174743769,1.6621983174743769,2215.521563663023,0.4382724609589603,Poor,High,1
45,46168.39807798545,14.5,Full-time,Mortgage,674,66708.74,debt_consolidation,3.0,60,1.444900468223281,1.444900468223281,1198.6687136494386,0.3115556346463756,Good,Medium,1
25,37622.93945952459,1.5,Part-time,Own,629,69135.94,car,7.96,60,1.837600703006676,1.837600703006676,1400.504458428588,0.4466969817502776,Fair,Medium,1
47,76232.20824746817,2.6,Full-time,Rent,618,55782.91,debt_consolidation,9.91,60,0.731749890006009,0.731749890006009,1182.7532223775654,0.1861816546420478,Fair,High,1
28,15000.0,4.1,Full-time,Rent,540,10317.29,home_improvement,13.24,36,0.6878193333333333,0.6878193333333333,348.8241408902913,0.279059312712233,Poor,Low,1
49,58061.44927774381,19.1,Full-time,Own,606,56902.85,major_purchase,6.68,60,0.9800452918045239,0.9800452918045239,1118.173452796855,0.23110138655642712,Fair,Medium,0
